CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD ASISITENCIAL,CODPAT,DEPENDENCIA PATRIMONIAL,CODFU,DEPENDENCIA FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,address,location,point,Latitude,Longitude,Altitude
80958,HOSPITAL DE SABADELL,"CR PROLONGACIÓ TAULÍ, S/N",937231010.0,937231010.0,937160646.0,81878,Sabadell,8,BARCELONA,9,CATALUÑA,08208,861,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,direcciogeneral@cspt.es,2,0,0,0,0,0,0,0,0,0,0,0,29,"CR PROLONGACIÓ TAULÍ, S/N,Sabadell,08208","Sabadell, Catalonia 08208, Spain","(41.573089599609375, 2.109924077987671, 0.0)",41.573089599609375,2.109924077987671,0.0
80977,"BENITO MENNI,COMPLEX ASSISTENCIAL EN SALUT MENTAL.","CR DR. ANTONI PUJADAS, 38",936402400.0,936402400.0,936400268.0,82009,Sant Boi de Llobregat,8,BARCELONA,9,CATALUÑA,08830,774,6,PSIQUIÁTRICO,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),S,N,N,,N,N,N,,N,hospital@hsc-bmennibcn.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR DR. ANTONI PUJADAS, 38,Sant Boi de Llobregat,08830","Calle del Doctor Antoni Pujadas 38, Sant Boi de Llobregat, Cataluña / Catalunya 08830, Spain","(41.3498887, 2.0382356, 0.0)",41.3498887,2.0382356,0.0
80983,PARC SANITARI SANT JOAN DE DÉU - RECINTE SANT BOI.,"CR DR. ANTONI PUJADAS, 42",936406350.0,936406350.0,936520051.0,82009,Sant Boi de Llobregat,8,BARCELONA,9,CATALUÑA,08830,1065,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,N,N,,Xhup,mvalencia@pssjd.org,0,1,0,0,0,0,0,0,0,0,1,1,0,"CR DR. ANTONI PUJADAS, 42,Sant Boi de Llobregat,08830","Calle del Doctor Antoni Pujadas, Sant Boi de Llobregat, Cataluña / Catalunya 08830, Spain","(41.3576403000002, 2.03440365000258, 0.0)",41.3576403000002,2.03440365000258,0.0
80996,PARC SANITARI SANT JOAN DE DÉU - HOSPITAL GENERAL,"CR CAMÍ VELL DE LA COLÒNIA, 25",936615208.0,936615208.0,936306175.0,82009,Sant Boi de Llobregat,8,BARCELONA,9,CATALUÑA,08830,246,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,S,N,,Xhup,hsantboi@hsantboi.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR CAMÍ VELL DE LA COLÒNIA, 25,Sant Boi de Llobregat,08830","Calle Vell de la Colònia 25, Sant Boi de Llobregat, Cataluña / Catalunya 08830, Spain","(41.35693739076708, 2.0309278849221526, 0.0)",41.35693739076708,2.0309278849221526,0.0
81000,HOSPITAL DE SANT CELONI.,"AV DE L'HOSPITAL, 19",938670617.0,938670617.0,938672311.0,82021,Sant Celoni,8,BARCELONA,9,CATALUÑA,08470,100,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,Xhup,secretaria@hsceloni.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"AV DE L'HOSPITAL, 19,Sant Celoni,08470","Camino Viejo de Sant Celoni 19, Sant Celoni, Cataluña / Catalunya 08460, Spain","(41.68476140310975, 2.477232245753242, 0.0)",41.68476140310975,2.477232245753242,0.0
81017,HOSPITAL UNIVERSITARI GENERAL DE CATALUNYA,"CR PEDRO I PONS, 1",935656000.0,935656000.0,935892618.0,82055,Sant Cugat del Vallès,8,BARCELONA,9,CATALUÑA,08195,286,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,hgc@hgc.es,1,2,2,2,2,0,1,1,0,0,1,1,0,"CR PEDRO I PONS, 1,Sant Cugat del Vallès,08195","Calle de Pedró i Pons, Sant Cugat del Vallès, Cataluña / Catalunya 08195, Spain","(41.475790350012, 2.04305330003134, 0.0)",41.475790350012,2.04305330003134,0.0
81022,CASAL DE CURACIÓ,"CR MARIA VIDAL, 19",937590241.0,937590241.0,937500420.0,82191,Vilassar de Mar,8,BARCELONA,9,CATALUÑA,08340,81,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,curacio@suport.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR MARIA VIDAL, 19,Vilassar de Mar,08340","Calle de Marià Vidal 19, Vilassar de Mar, Cataluña / Catalunya 08340, Spain","(41.501719826463486, 2.3874448250338536, 0.0)",41.501719826463486,2.3874448250338536,0.0
81038,HOSPITAL RESIDÈNCIA SANT CAMIL - CONSORCI SANITARI DEL GARRAF.,"RD SANT  CAMIL, S/N",938960025.0,938960025.0,938961287.0,82310,Sant Pere de Ribes,8,BARCELONA,9,CATALUÑA,08810,295,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,santcamil@hrsantcamil.es,1,0,0,0,0,0,0,0,0,0,0,0,0,"RD SANT  CAMIL, S/N,Sant Pere de Ribes,08810","Ronda de Sant Camil, Sant Pere de Ribes, Cataluña / Catalunya 08810, Spain","(41.253428350005, 1.76875455000143, 0.0)",41.253428350005,1.76875455000143,0.0
81056,CENTRES ASSISTENCIALS DR. EMILI MIRA I LÓPEZ (RECINTE TORRIBERA).,"CR PRAT DE LA RIBA, 171",934628926.0,934628926.0,934683742.0,82457,Santa Coloma de Gramenet,8,BARCELONA,9,CATALUÑA,08921,454,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,N,g.torribera@diba.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR PRAT DE LA RIBA, 171,Santa Coloma de Gramenet,08921","Calle de Prat de la Riba 171, Santa Coloma de Gramenet, Cataluña / Catalunya 08921, Spain","(41.45951024141137, 2.2133116427152806, 0.0)",41.45951024141137,2.2133116427152806,0.0
81069,FUNDACIÓ HOSPITAL DE L'ESPERIT SANT,"AV MOSSÈN JOSEP PONS I ROBADÀ, S/N",933869648.0,933860202.0,933850100.0,82457,Santa Coloma de Gramenet,8,BARCELONA,9,CATALUÑA,08923,177,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,N,N,,Xhup,mesteva@hes.scs.es / hesperitsant@hes.sc,1,0,0,0,0,0,0,0,0,0,1,0,0,"AV MOSSÈN JOSEP PONS I ROBADÀ, S/N,Santa Coloma de Gramenet,08923","Avenida del Mosén Josep Pons i Robada, Santa Coloma de Gramenet, Cataluña / Catalunya 08923, Spain","(41.4392312975921, 2.2108676045242, 0.0)",41.4392312975921,2.2108676045242,0.0
81075,HOSPITAL DE TERRASSA.,"CT TORREBONICA, S/N",937310007.0,937310007.0,937310959.0,82798,Terrassa,8,BARCELONA,9,CATALUÑA,08227,460,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,csdt@csdt.es,1,0,0,0,0,1,0,1,0,0,0,0,15,"CT TORREBONICA, S/N,Terrassa,08227","Terrassa, Catalonia 08227, Spain","(41.555721282958984, 2.0554590225219727, 0.0)",41.555721282958984,2.0554590225219727,0.0
81081,HOSPITAL DE SANT LLÀTZER,"PL DOCTOR ROBERT, 1",937837111.0,937837111.0,937831555.0,82798,Terrassa,8,BARCELONA,9,CATALUÑA,08221,77,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,admissionsfsll@cst.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"PL DOCTOR ROBERT, 1,Terrassa,08221","Plaza del Doctor Robert, Terrassa, Cataluña / Catalunya 08221, Spain","(41.5633503500018, 2.01640440003626, 0.0)",41.5633503500018,2.01640440003626,0.0
81094,HOSPITAL UNIVERSITARI MÚTUA DE TERRASSA,"PL DOCTOR ROBERT, 5",937365050.0,937365050.0,937365059.0,82798,Terrassa,8,BARCELONA,9,CATALUÑA,08221,534,1,GENERAL,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,S,N,N,,N,N,N,,Xhup,,1,0,0,1,1,0,0,0,0,0,0,0,0,"PL DOCTOR ROBERT, 5,Terrassa,08221","Plaza del Doctor Robert, Terrassa, Cataluña / Catalunya 08221, Spain","(41.5633503500018, 2.01640440003626, 0.0)",41.5633503500018,2.01640440003626,0.0
81108,HOSPITAL  UNIVERSITARI DE VIC,"CR FRANCESC PLA ""EL VIGATA"", 1",938891111.0,938890125.0,938850308.0,82981,Vic,8,BARCELONA,9,CATALUÑA,08500,292,1,GENERAL,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,gerencia@hgv.es,1,1,0,0,0,0,0,0,0,0,0,0,27,"CR FRANCESC PLA ""EL VIGATA"", 1,Vic,08500","Calle de Francesc Pla 'el Vicense', Vic, Cataluña / Catalunya 08500, Spain","(41.9360396932297, 2.25942041549409, 0.0)",41.9360396932297,2.25942041549409,0.0
81115,CLÍNICA SANT JOSEP,"CR SANT SEGIMON, 3",938861700.0,938861090.0,938891779.0,82981,Vic,8,BARCELONA,9,CATALUÑA,08500,21,1,GENERAL,12,PRIVADO-BENÉFICO (IGLESIA),21,PRIVADO-BENÉFICO (IGLESIA),N,N,N,,N,N,N,,N,administracio@clinicasjv.com,0,0,0,0,0,0,0,0,0,0,1,0,0,"CR SANT SEGIMON, 3,Vic,08500","Carrer de Sant Segimon 3, Vic, Cataluña / Catalunya 08500, Spain","(41.92992809015871, 2.2611887971387787, 0.0)",41.92992809015871,2.2611887971387787,0.0
81120,HOSPITAL DE LA SANTA CREU,"RB HOSPITAL, 52",938833300.0,938833300.0,938895087.0,82981,Vic,8,BARCELONA,9,CATALUÑA,08500,127,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,sjuridica@chv.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"RB HOSPITAL, 52,Vic,08500","Rambla del Hospital, Vic, Cataluña / Catalunya 08500, Spain","(41.9300374500007, 2.2529198499941, 0.0)",41.9300374500007,2.2529198499941,0.0
81141,HOSPITAL DE VILADECANS,"AV GAVÀ, 38",936590111.0,936590111.0,936590612.0,83015,Viladecans,8,BARCELONA,9,CATALUÑA,08840,110,1,GENERAL,1,SEGURIDAD SOCIAL,3,INSTITUTO CATALÁN DE LA SALUD,S,N,N,,N,N,N,,Xhup,gerencia@hv.scs.es,1,1,0,0,0,0,0,0,0,0,0,0,0,"AV GAVÀ, 38,Viladecans,08840","Avenida de Gavà 38, Viladecans, Cataluña / Catalunya 08840, Spain","(41.311442388051105, 2.0137913465327295, 0.0)",41.311442388051105,2.0137913465327295,0.0
81189,HOSPITAL SANT ANTONI ABAT - CONSORCI SANITARI DEL GARRAF.,"CR SANT JOSEP, 21",938931616.0,938931616.0,938140042.0,83073,Vilanova i la Geltrú,8,BARCELONA,9,CATALUÑA,08800,111,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,fhcaa@retemail.es,0,0,0,0,0,0,0,0,0,0,0,0,29,"CR SANT JOSEP, 21,Vilanova i la Geltrú,08800","Calle de Sant Josep 21, Vilanova i la Geltrù, Cataluña / Catalunya 08800, Spain","(41.228703, 1.7228349, 0.0)",41.228703,1.7228349,0.0
81192,CENTRE SOCIOSANITARI CAN TORRAS,"CT EL MASNOU A ALELLA, 11",935551994.0,935551994.0,935555559.0,80039,Alella,8,BARCELONA,9,CATALUÑA,08328,119,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,jm.cuartero@fsfa.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT EL MASNOU A ALELLA, 11,Alella,08328","Calle del Masnou 11, Alella, Cataluña / Catalunya 08328, Spain","(41.4820464, 2.3051329, 0.0)",41.4820464,2.3051329,0.0
81213,HESTIA MARESME,"CR LEPANT, 13-21",931165279.0,931165279.0,937577251.0,81213,Mataró,8,BARCELONA,9,CATALUÑA,08301,125,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR LEPANT, 13-21,Mataró,08301","Calle de Lepanto 13, Mataró, Cataluña / Catalunya 08301, Spain","(41.5358858, 2.4442681, 0.0)",41.5358858,2.4442681,0.0
81228,PRYTANIS SANT BOI CENTRE SOCIOSANITARI,"CR JOSEP TORRAS I BAGES, 55",936300931.0,936300931.0,936300877.0,82009,Sant Boi de Llobregat,8,BARCELONA,9,CATALUÑA,08830,122,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,prytanis@prytanisresidencial.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR JOSEP TORRAS I BAGES, 55,Sant Boi de Llobregat,08830","Calle Josep Torres i Bages 55, Sant Boi de Llobregat, Cataluña / Catalunya 08830, Spain","(41.3493902, 2.0391891, 0.0)",41.3493902,2.0391891,0.0
81234,CENTRE SOCIOSANITARI VERGE DEL PUIG,"CR CAMPINS, 37",938673995.0,938673995.0,938672311.0,82021,Sant Celoni,8,BARCELONA,9,CATALUÑA,08470,40,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,residencia@hsceloni.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR CAMPINS, 37,Sant Celoni,08470","Carretera de Campins 37, Sant Celoni, Cataluña / Catalunya 08470, Spain","(41.6910815, 2.485831, 0.0)",41.6910815,2.485831,0.0
81287,RESIDÈNCIA L'ESTADA,"CM DE LA MASIA, S/N",937926612.0,937926287.0,937926287.0,81976,Sant Andreu de Llavaneres,8,BARCELONA,9,CATALUÑA,08392,60,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,estada@lestada.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CM DE LA MASIA, S/N,Sant Andreu de Llavaneres,08392","Camí de la Masia & Avenida Sant Andreu, Sant Andreu de Llavaneres, Cataluña / Catalunya 08392, Spain","(41.5657189, 2.4897218, 0.0)",41.5657189,2.4897218,0.0
81304,RESIDÈNCIA PUIG-REIG,"CR LLOBREGAT, 75",938380045.0,938380045.0,,81751,Puig-reig,8,BARCELONA,9,CATALUÑA,08692,30,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,cassbenefica2@logiccontrol.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR LLOBREGAT, 75,Puig-reig,08692","Calle del Llobregat 75, Puig-reig, Cataluña / Catalunya 08692, Spain","(41.9779343, 1.8794259, 0.0)",41.9779343,1.8794259,0.0
81311,RESIDÈNCIA SANTA SUSANNA,"CR FONT I BOET, 16",938654994.0,938654994.0,938653619.0,80333,Caldes de Montbui,8,BARCELONA,9,CATALUÑA,08140,64,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,aros@fundaciostasusanna.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR FONT I BOET, 16,Caldes de Montbui,08140","Calle de Font i Boet 16, Caldes de Montbui, Cataluña / Catalunya 08140, Spain","(41.6308213, 2.1640341, 0.0)",41.6308213,2.1640341,0.0
81326,HOSPITAL DE MATARÓ,"CT CIRERA, 230",937417700.0,937417700.0,937417733.0,81213,Mataró,8,BARCELONA,9,CATALUÑA,08304,402,1,GENERAL,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,gerencia@csdm.es,1,1,0,0,1,0,0,0,0,0,0,0,0,"CT CIRERA, 230,Mataró,08304","Calle de Cirera 230, Mataró, Cataluña / Catalunya 08304, Spain","(41.5551946, 2.4294843, 0.0)",41.5551946,2.4294843,0.0
81347,HOSPITAL UNIVERSITARI VALL D'HEBRON,"PS VALL D'HEBRON, 119-129",934894524.0,934894524.0,934894401.0,80193,Barcelona,8,BARCELONA,9,CATALUÑA,08035,1315,1,GENERAL,1,SEGURIDAD SOCIAL,3,INSTITUTO CATALÁN DE LA SALUD,S,N,N,,N,N,S,,Xhup,dirgerencia@vhebron.net,5,6,5,3,2,0,1,3,0,1,2,1,14,"PS VALL D'HEBRON, 119-129,Barcelona,08035","Paseo de la Vall d'Hebron 129, Barcelona, Cataluña / Catalunya 08035, Spain","(41.4280047, 2.1434324, 0.0)",41.4280047,2.1434324,0.0
81350,CENTRE POLIVALENT CAN FOSC,"CT DE LLERONA, S/N",938432786.0,938432786.0,,80057,"Ametlla del Vallès, L'",8,BARCELONA,9,CATALUÑA,08480,56,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,vbonet@fundaciovallparadis.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT DE LLERONA, S/N,Ametlla del Vallès, L',08480","Carretera de Llerona, L'Ametlla del Vallès, Cataluña / Catalunya 08480, Spain","(41.6599531497575, 2.26901597155801, 0.0)",41.6599531497575,2.26901597155801,0.0
81379,HOSPITAL SOCIOSANITARI MUTUAM GÜELL,"CR MARE DE DÉU DE LA SALUT, 49",932133400.0,932133400.0,932102320.0,80193,Barcelona,8,BARCELONA,9,CATALUÑA,08024,167,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,mutuam@mutuam.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR MARE DE DÉU DE LA SALUT, 49,Barcelona,08024","Carrer de la Mare de Déu de la Salut 49, Barcelona, Cataluña / Catalunya 08024, Spain","(41.4114053, 2.1567041, 0.0)",41.4114053,2.1567041,0.0
81402,"MÚTUA DE GRANOLLERS, MÚTUA DE PREVISIÓ SOCIAL A PRIMA FIXA","PL PAU CASALS, S/N",938708099.0,938708099.0,938790477.0,80961,Granollers,8,BARCELONA,9,CATALUÑA,08402,20,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,rblanch@mutua.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"PL PAU CASALS, S/N,Granollers,08402","Plaza de Pau Casals, Granollers, Cataluña / Catalunya 08402, Spain","(41.6068181000117, 2.2894566, 0.0)",41.6068181000117,2.2894566,0.0
81430,HOSPITAL COMARCAL DE L'ALT PENEDÈS.,"CR ESPIRALL, S/N",938180440.0,938180440.0,938180491.0,83054,Vilafranca del Penedès,8,BARCELONA,9,CATALUÑA,08720,144,1,GENERAL,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,S,N,N,,N,N,N,,Xhup,xvillanova@csap.scs.es,1,0,0,0,0,0,0,0,0,0,0,0,0,"CR ESPIRALL, S/N,Vilafranca del Penedès,08720","Calle Espirall, Vilafranca del Penedès, Cataluña / Catalunya 08720, Spain","(41.352086350339, 1.70220564862846, 0.0)",41.352086350339,1.70220564862846,0.0
81458,ÀPTIMA CENTRE CLÍNIC - MÚTUA DE TERRASSA,"PL DOCTOR ROBERT, 5",937365072.0,937365072.0,937365009.0,82798,Terrassa,8,BARCELONA,9,CATALUÑA,08221,70,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,N,,N,cmarin@mutuaterrassa.cat,0,0,0,0,0,0,0,0,0,0,0,0,0,"PL DOCTOR ROBERT, 5,Terrassa,08221","Plaza del Doctor Robert, Terrassa, Cataluña / Catalunya 08221, Spain","(41.5633503500018, 2.01640440003626, 0.0)",41.5633503500018,2.01640440003626,0.0
81461,INSTITUT CATALÀ D'ONCOLOGIA - HOSPITAL DURAN I REYNALS,"AV GRAN VIA, 203",933357011.0,933357652.0,932607783.0,81017,"Hospitalet de Llobregat, L'",8,BARCELONA,9,CATALUÑA,08908,126,8,ONCOLÓGICO,6,COMUNIDAD AUTÓNOMA,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,Xhup,cserra@ico.scs.es,0,0,0,0,0,0,1,4,0,0,0,0,0,"AV GRAN VIA, 203,Hospitalet de Llobregat, L',08908","Avenida de la Gran Vía de Hospitalet 203, Hospitalet de Llobregat, Cataluña / Catalunya 08908, Spain","(41.34499123090288, 2.109556419391533, 0.0)",41.34499123090288,2.109556419391533,0.0
81483,SAR MONT MARTÍ,"CT CASSERRES (ABANS PO. LA SALA S/N), 1",938290138.0,938290138.0,938381306.0,81751,Puig-reig,8,BARCELONA,9,CATALUÑA,08692,20,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,direccion.montmarti@domusvi.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT CASSERRES (ABANS PO. LA SALA S/N), 1,Puig-reig,08692","Puig-reig, Catalonia 08692, Spain","(41.97455978393555, 1.8791049718856812, 0.0)",41.97455978393555,1.8791049718856812,0.0
81496,REGINA SAR,"CR MARE DE DÉU DEL COLL, 22",932848635.0,932848635.0,932846051.0,80193,Barcelona,8,BARCELONA,9,CATALUÑA,08023,12,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,direccion.regina@sarquavitae.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR MARE DE DÉU DEL COLL, 22,Barcelona,08023","Carrer de la Mare de Déu del Coll 22, Barcelona, Cataluña / Catalunya 08023, Spain","(41.4089231, 2.1497454, 0.0)",41.4089231,2.1497454,0.0
81537,CENTRE VALLPARADÍS,"CR SANT ANTONI, 52",937365030.0,937365036.0,937365009.0,82798,Terrassa,8,BARCELONA,9,CATALUÑA,08221,81,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,gerenciamutua@mutuaterrassa.es,0,0,2,0,0,0,0,0,0,1,0,1,0,"CR SANT ANTONI, 52,Terrassa,08221","Calle de Sant Antoni 52, Terrassa, Cataluña / Catalunya 08221, Spain","(41.5649159781685, 2.016601765397446, 0.0)",41.5649159781685,2.016601765397446,0.0
81568,ITA MARESME,"CR BARÓ DE VIVER, 58",937530062.0,937530062.0,937533288.0,80095,Argentona,8,BARCELONA,9,CATALUÑA,08310,77,14,OTROS MONOGRÁFICOS,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,itacat@itacat.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR BARÓ DE VIVER, 58,Argentona,08310","Passeig del Baró de Viver, Argentona, Cataluña / Catalunya 08310, Spain","(41.5498212504669, 2.39706969879721, 0.0)",41.5498212504669,2.39706969879721,0.0
81574,CLÍNICA LLÚRIA,"PG MERCADER, 14",934882142.0,934334717.0,934878894.0,80193,Barcelona,8,BARCELONA,9,CATALUÑA,08008,40,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,clinicalluria@cpbssm.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"PG MERCADER, 14,Barcelona,08008","Pasaje de Mercader 14, Barcelona, Cataluña / Catalunya 08008, Spain","(41.3924724, 2.1598196, 0.0)",41.3924724,2.1598196,0.0
81580,ANTIC HOSPITAL DE SANT JAUME I SANTA MAGDALENA,"CR HOSPITAL, 29-31",937582800.0,937582800.0,937582813.0,81213,Mataró,8,BARCELONA,9,CATALUÑA,08301,70,13,GERIATRÍA Y/O LARGA ESTANCIA,9,ENTIDADES PÚBLICAS,18,OTROS PÚBLICOS,N,N,N,,N,N,N,,N,gerencia@csdm.es,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR HOSPITAL, 29-31,Mataró,08301","Calle de Hospital 29, Mataró, Cataluña / Catalunya 08301, Spain","(41.5396962, 2.4488857, 0.0)",41.5396962,2.4488857,0.0
81593,PARC SANITARI SANT JOAN DE DÉU - NUMÀNCIA,"CR NUMÀNCIA, 7-13",933249600.0,933249600.0,933249603.0,80193,Barcelona,8,BARCELONA,9,CATALUÑA,08029,159,6,PSIQUIÁTRICO,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,S,,N,upps@pssjd.org,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR NUMÀNCIA, 7-13,Barcelona,08029","Calle de Numancia 13, Barcelona, Cataluña / Catalunya 08029, Spain","(41.3814815, 2.1409201, 0.0)",41.3814815,2.1409201,0.0
81605,PRYTANIS HOSPITALET CENTRE SOCIOSANITARI,"CR APRESTADORA, 43-45",932988090.0,932988090.0,,81017,"Hospitalet de Llobregat, L'",8,BARCELONA,9,CATALUÑA,08902,104,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,prytanis@prytanis.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR APRESTADORA, 43-45,Hospitalet de Llobregat, L',08902","Calle de la Aprestadora 43, Hospitalet de Llobregat, Cataluña / Catalunya 08902, Spain","(41.3642293, 2.1299193, 0.0)",41.3642293,2.1299193,0.0
81616,COMUNITAT TERAPÈUTICA ARENYS DE MUNT,"CT BARRI ORIENT  ""CAN ZARIQUIEY"", 26",937938006.0,937938006.0,937951037.0,80076,Arenys de Munt,8,BARCELONA,9,CATALUÑA,08358,42,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,ctam@ctm-salutmental.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT BARRI ORIENT  ""CAN ZARIQUIEY"", 26,Arenys de Munt,08358","Arenys de Munt, Catalonia 08358, Spain","(41.6102180480957, 2.540863037109375, 0.0)",41.6102180480957,2.540863037109375,0.0
